INVENT_ID,UTM_E,UTM_N,TAMBON,DISTRICT,PROVINCE,YEAR_DATA,REMARK,REMARK_2,LONGITUDE,LATITUDE
25920,686709,2139073,นาไร่หลวง,สองแคว,น่าน,0, , ,100.77734378968559,19.336976880284656
25921,686276,2139381,นาไร่หลวง,สองแคว,น่าน,0, , ,100.77325343847292,19.33979918672384
25922,709865,2123870,ภูคา,ปัว,น่าน,0, , ,100.99601580810743,19.19738255948749
25923,709820,2123754,ภูคา,ปัว,น่าน,0, , ,100.99557537341332,19.19633950679923
25924,709669,2123885,ภูคา,ปัว,น่าน,0, , ,100.99415413285664,19.197538317063216
25925,709834,2123928,ภูคา,ปัว,น่าน,0, , ,100.9957274194346,19.19790962282898
25926,709677,2123918,ภูคา,ปัว,น่าน,0, , ,100.99423377841514,19.197835545404043
25927,709782,2123936,ภูคา,ปัว,น่าน,0, , ,100.99523394225629,19.197987259708654
25928,709834,2123928,ภูคา,ปัว,น่าน,0, , ,100.9957274194346,19.19790962282898
25929,709880,2124009,ภูคา,ปัว,น่าน,0, , ,100.99617355326436,19.19863645179419
25930,709320,2123783,ภูคา,ปัว,น่าน,0, , ,100.99082521196162,19.196653112441304
25931,709318,2123733,ภูคา,ปัว,น่าน,0, , ,100.99080076586439,19.19620171844609
25932,709381,2123816,ภูคา,ปัว,น่าน,0, , ,100.99140870462288,19.19694487048138
25933,709380,2123910,ภูคา,ปัว,น่าน,0, , ,100.9914094152145,19.19779398221395
25934,709202,2122999,ภูคา,ปัว,น่าน,0, , ,100.98961830478281,19.18958418783229
25935,708422,2123258,ภูคา,ปัว,น่าน,0, , ,100.98223141789754,19.19200378684904
25936,708605,2123129,ภูคา,ปัว,น่าน,0, , ,100.9839571305408,19.190819838143664
25937,707969,2122736,ภูคา,ปัว,น่าน,0, , ,100.97786866579732,19.18733553912679
25938,708449,2125303,ภูคา,ปัว,น่าน,0, , ,100.98270943704563,19.21047155345881
25939,708510,2125208,ภูคา,ปัว,น่าน,0, , ,100.98327910301484,19.209607233110564
25940,708444,2125204,ภูคา,ปัว,น่าน,0, , ,100.98265117846718,19.209577895848227
25941,708502,2125323,ภูคา,ปัว,น่าน,0, , ,100.98321550080887,19.210646740676662
25942,708504,2125294,ภูคา,ปัว,น่าน,0, , ,100.98323137429287,19.21038460578158
25943,708568,2125253,ภูคา,ปัว,น่าน,0, , ,100.98383541067395,19.210007705124433
25944,708761,2125296,ภูคา,ปัว,น่าน,0, , ,100.98567501365955,19.210376205630567
25945,708794,2125287,ภูคา,ปัว,น่าน,0, , ,100.98598778395413,19.210291516944977
25946,708660,2125102,ภูคา,ปัว,น่าน,0, , ,100.98469372842048,19.208634396049018
25947,708719,2124960,ภูคา,ปัว,น่าน,0, , ,100.98523926762509,19.2073457715094
25948,708996,2124969,ภูคา,ปัว,น่าน,0, , ,100.98787376497874,19.207398510095114
25949,708989,2125281,ภูคา,ปัว,น่าน,0, , ,100.98784108736461,19.210217220225587
25950,719957,2121669,ภูคา,ปัว,น่าน,0, , ,101.09170278518059,19.176434693424348
25951,720105,2121687,ภูคา,ปัว,น่าน,0, , ,101.09311156295583,19.176581218020864
25952,717526,2121277,ภูคา,ปัว,น่าน,0, , ,101.06855199305926,19.173156260538242
25953,717137,2121469,ภูคา,ปัว,น่าน,0, , ,101.06487621306059,19.174931969426027
25954,717646,2121394,ภูคา,ปัว,น่าน,0, , ,101.06970577373707,19.174200096521655
25955,718131,2122282,ภูคา,ปัว,น่าน,0, , ,101.07441607436614,19.182168068860076
25956,718223,2122641,ภูคา,ปัว,น่าน,0, , ,101.07533119801556,19.185400502974826
25957,718662,2123045,ภูคา,ปัว,น่าน,0, , ,101.07954993894099,19.18900197342891
25958,718111,2125296,ภูคา,ปัว,น่าน,0, , ,101.07456718907189,19.209391279105617
25959,721601,2122236,ภูคา,ปัว,น่าน,0, , ,101.10739389502614,19.18137668236654
25960,721544,2122227,ภูคา,ปัว,น่าน,0, , ,101.1068510711941,19.18130162320083
25961,718951,2122034,ภูคา,ปัว,น่าน,0, , ,101.08218226413351,19.179839949036914
25962,717436,2125073,ภูคา,ปัว,น่าน,0, , ,101.06812483489136,19.207449786912235
25963,716867,2125559,ภูคา,ปัว,น่าน,0, , ,101.06277019976419,19.21190011368277
25964,715995,2125269,ภูคา,ปัว,น่าน,0, , ,101.0544474354289,19.209374093414926
25965,715851,2124977,ภูคา,ปัว,น่าน,0, , ,101.05304568447265,19.20675219689335
25966,715065,2125563,ภูคา,ปัว,น่าน,0, , ,101.04563873827279,19.212128333792514
25967,712135,2124497,ภูคา,ปัว,น่าน,0, , ,101.01766484268869,19.202809306836443
25968,712510,2124782,ภูคา,ปัว,น่าน,0, , ,101.02126136161495,19.205344098307208
25969,712759,2125138,ภูคา,ปัว,น่าน,0, , ,101.02366793943573,19.208533300458683
25970,712329,2124621,ภูคา,ปัว,น่าน,0, , ,101.01952284372288,19.203908942728166
25971,712250,2124753,ภูคา,ปัว,น่าน,0, , ,101.01878634870363,19.20510942081162
25972,711829,2125228,ภูคา,ปัว,น่าน,0, , ,101.01483617105882,19.20944360326538
25973,710049,2123503,ภูคา,ปัว,น่าน,0, , ,100.99772501979628,19.194048772459315
25974,710183,2123711,ภูคา,ปัว,น่าน,0, , ,100.99902157731987,19.195913537463575
25975,709079,2122782,ภูคา,ปัว,น่าน,0, , ,100.98842549482569,19.187636919122408
25976,709161,2122767,ภูคา,ปัว,น่าน,0, , ,100.989203371338,19.18749298595606
25977,707690,2123618,ภูคา,ปัว,น่าน,0, , ,100.97531149441214,19.19533043307686
25978,709389,2125023,ภูคา,ปัว,น่าน,0, , ,100.99161599859579,19.207845667417303
25979,709559,2125100,ภูคา,ปัว,น่าน,0, , ,100.99324061988183,19.208523556642835
25980,709694,2125109,ภูคา,ปัว,น่าน,0, , ,100.99452508835624,19.20859087827393
